,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第17案同意票數,第17案有效票數,第17案同意率,第18案同意票數,第18案有效票數,第18案同意率,第19案同意票數,第19案有效票數,第19案同意率,第20案同意票數,第20案有效票數,第20案同意率
67,嘉義縣,梅山鄉,瑞峰村,54,30509,565,479,65.0,146.0,0.4452,65.0,146.0,0.4452,65.0,146.0,0.4452,65.0,146.0,0.4452
68,臺南市,七股區,𥂁埕里,51,30550,599,547,65.0,146.0,0.4452,65.0,146.0,0.4452,65.0,146.0,0.4452,65.0,146.0,0.4452
69,臺東縣,達仁鄉,新化村,48,30697,640,536,83.0,98.0,0.8469,80.0,99.0,0.8081,82.0,99.0,0.8283,81.0,100.0,0.81
70,屏東縣,潮州鎮,檨子里,54,30736,569,430,57.0,169.0,0.3373,61.0,169.0,0.3609,60.0,168.0,0.3571,59.0,168.0,0.3512
71,高雄市,六龜區,大津里,45,31338,696,532,41.0,122.0,0.3361,45.0,124.0,0.3629,41.0,124.0,0.3306,42.0,124.0,0.3387
72,花蓮縣,瑞穗鄉,奇美村,51,31340,615,486,62.0,73.0,0.8493,63.0,73.0,0.863,60.0,73.0,0.8219,62.0,73.0,0.8493
73,高雄市,桃源區,復興里,42,31344,746,704,54.0,61.0,0.8852,57.0,61.0,0.9344,56.0,61.0,0.918,58.0,61.0,0.9508
74,屏東縣,枋寮鄉,玉泉村,50,31593,632,564,57.0,120.0,0.475,56.0,120.0,0.4667,56.0,119.0,0.4706,57.0,121.0,0.4711
75,宜蘭縣,大同鄉,樂水村,54,31619,586,569,97.0,112.0,0.8661,101.0,111.0,0.9099,97.0,111.0,0.8739,99.0,111.0,0.8919
76,嘉義縣,竹崎鄉,光華村,64,31683,495,472,99.0,206.0,0.4806,108.0,206.0,0.5243,102.0,207.0,0.4928,104.0,206.0,0.5049
77,澎湖縣,白沙鄉,大倉村,46,31870,693,504,11.0,49.0,0.2245,17.0,50.0,0.34,15.0,50.0,0.3,17.0,50.0,0.34
78,臺東縣,池上鄉,富興村,55,31875,580,504,86.0,127.0,0.6772,89.0,127.0,0.7008,88.0,125.0,0.704,89.0,127.0,0.7008
79,宜蘭縣,大同鄉,復興村,45,31936,710,561,53.0,100.0,0.53,55.0,100.0,0.55,56.0,99.0,0.5657,59.0,99.0,0.596
80,嘉義縣,布袋鎮,江山里,50,32285,646,531,49.0,105.0,0.4667,45.0,106.0,0.4245,40.0,105.0,0.381,41.0,105.0,0.3905
81,澎湖縣,西嶼鄉,池西村,41,32292,788,548,15.0,62.0,0.2419,19.0,63.0,0.3016,16.0,63.0,0.254,20.0,62.0,0.3226
82,嘉義縣,阿里山鄉,香林村,41,32445,791,581,28.0,42.0,0.6667,28.0,42.0,0.6667,28.0,42.0,0.6667,28.0,42.0,0.6667
83,高雄市,桃源區,拉芙蘭里,47,32651,695,562,35.0,69.0,0.5072,40.0,71.0,0.5634,37.0,70.0,0.5286,40.0,70.0,0.5714
84,臺東縣,池上鄉,錦園村,51,32679,641,543,40.0,93.0,0.4301,46.0,96.0,0.4792,45.0,95.0,0.4737,41.0,95.0,0.4316
85,宜蘭縣,頭城鎮,石城里,40,32780,819,551,22.0,81.0,0.2716,29.0,80.0,0.3625,29.0,81.0,0.358,27.0,81.0,0.3333
86,澎湖縣,白沙鄉,小赤村,35,32782,937,677,32.0,62.0,0.5161,34.0,62.0,0.5484,32.0,62.0,0.5161,35.0,63.0,0.5556
