臺北市,大安區,德安里,2293,1423,870,15,2308,4632,49.83,30.72
臺北市,大安區,仁慈里,2165,1135,1030,16,2181,4304,50.67,26.37
臺北市,大安區,和安里,2629,1511,1118,16,2645,5471,48.35,27.62
臺北市,大安區,民炤里,3219,1719,1500,31,3250,6608,49.18,26.01
臺北市,大安區,仁愛里,1914,1015,899,14,1928,4212,45.77,24.1
臺北市,大安區,義村里,2470,1627,843,9,2479,4707,52.67,34.57
臺北市,大安區,民輝里,2709,1459,1250,27,2736,5704,47.97,25.58
臺北市,大安區,昌隆里,1353,656,697,16,1369,2713,50.46,24.18
臺北市,大安區,誠安里,1667,870,797,18,1685,3427,49.17,25.39
臺北市,大安區,光武里,2841,1551,1290,32,2873,6211,46.26,24.97
臺北市,大安區,龍坡里,2345,1323,1022,26,2371,4608,51.45,28.71
臺北市,大安區,龍泉里,1910,1019,891,17,1927,4046,47.63,25.19
臺北市,大安區,古風里,1795,969,826,14,1809,3495,51.76,27.73
臺北市,大安區,古莊里,2890,1587,1303,25,2915,6074,47.99,26.13
臺北市,大安區,龍安里,2438,1295,1143,20,2458,6710,36.63,19.3
臺北市,大安區,錦安里,2354,1338,1016,17,2371,4806,49.33,27.84
臺北市,大安區,福住里,2371,1266,1105,24,2395,5061,47.32,25.01
臺北市,大安區,永康里,1432,804,628,9,1441,2977,48.4,27.01
臺北市,大安區,光明里,1466,827,639,19,1485,2987,49.72,27.69
臺北市,大安區,錦泰里,1491,916,575,20,1511,3004,50.3,30.49
臺北市,大安區,錦華里,2359,1358,1001,21,2380,4627,51.44,29.35
臺北市,大安區,龍圖里,2696,1581,1115,27,2723,5613,48.51,28.17
臺北市,大安區,新龍里,2891,1935,956,30,2921,5527,52.85,35.01
臺北市,大安區,龍陣里,1477,823,654,8,1485,2947,50.39,27.93
臺北市,大安區,龍雲里,1996,1123,873,18,2014,3937,51.16,28.52
臺北市,大安區,龍生里,2751,1607,1144,29,2780,5409,51.4,29.71
臺北市,大安區,住安里,1869,1105,764,23,1892,4245,44.57,26.03
臺北市,大安區,義安里,2070,1218,852,15,2085,4455,46.8,27.34
臺北市,大安區,通化里,2482,1225,1257,23,2505,5249,47.72,23.34
臺北市,大安區,通安里,2172,1181,991,37,2209,4590,48.13,25.73
臺北市,大安區,臨江里,1629,905,724,21,1650,3527,46.78,25.66
臺北市,大安區,法治里,1865,1167,698,20,1885,3732,50.51,31.27
臺北市,大安區,全安里,1781,1055,726,23,1804,3699,48.77,28.52
臺北市,大安區,群賢里,2401,1488,913,23,2424,4899,49.48,30.37
臺北市,大安區,群英里,3139,2260,879,23,3162,5848,54.07,38.65
臺北市,大安區,虎嘯里,1550,873,677,11,1561,3137,49.76,27.83
臺北市,大安區,臥龍里,870,524,346,13,883,1729,51.07,30.31
臺北市,大安區,龍淵里,3681,2038,1643,30,3711,7435,49.91,27.41
臺北市,大安區,龍門里,1847,1002,845,13,1860,3529,52.71,28.39
臺北市,大安區,大學里,3641,2054,1587,33,3674,6961,52.78,29.51
臺北市,大安區,芳和里,2333,1342,991,28,2361,4904,48.14,27.37
臺北市,大安區,黎元里,2097,1175,922,23,2120,4683,45.27,25.09
臺北市,大安區,黎孝里,3201,1814,1387,33,3234,6467,50.01,28.05
臺北市,大安區,黎和里,1875,1150,725,22,1897,3938,48.17,29.2
臺北市,大安區,建安里,1820,1026,794,12,1832,4048,45.26,25.35
臺北市,大安區,建倫里,2265,1240,1025,26,2291,5023,45.61,24.69
臺北市,大安區,敦安里,2353,1270,1083,18,2371,5100,46.49,24.9
臺北市,大安區,正聲里,1763,1020,743,18,1781,3818,46.65,26.72
臺北市,大安區,敦煌里,2338,1252,1086,25,2363,4922,48.01,25.44
臺北市,大安區,華聲里,1574,892,682,13,1587,3473,45.7,25.68
臺北市,大安區,車層里,2441,1295,1146,18,2459,5221,47.1,24.8
臺北市,大安區,光信里,3055,1719,1336,39,3094,6249,49.51,27.51
臺北市,大安區,學府里,965,598,367,15,980,2171,45.14,27.54
臺北市,中山區,正守里,1270,612,658,11,1281,2806,45.65,21.81
臺北市,中山區,正義里,1848,942,906,14,1862,4541,41.0,20.74
臺北市,中山區,正得里,1371,695,676,16,1387,3136,44.23,22.16
臺北市,中山區,民安里,1819,829,990,18,1837,3798,48.37,21.83
臺北市,中山區,康樂里,1002,543,459,12,1014,2307,43.95,23.54
臺北市,中山區,中山里,2501,1242,1259,17,2518,5902,42.66,21.04
